"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
1164037,0,8,0,7,12,15,4,7,23,28,1,"No",0,0.07,0.33,0,"No","No","No","Yes","No","Yes"
1164887,0,2,0,12,18,18,0,0,0,0,1,"No",0,0.94,0.95,0,"No","No","Yes","Yes","No","Yes"
1165735,10,8,2,56,86,116,16,33,57,78,3,"No",0,0.75,0.74,0,"No","No","No","Yes","No","Yes"
1166749,-2,8,48,408,744,996,136,386,636,1036,304,"No",36,0.86,0.88,41,"No","No","No","Yes","No","Yes"
1167228,6,2,0,3,9,12,6,13,29,44,3,"No",0,0.84,0.9,0,"No","No","No","Yes","No","Yes"
1167506,19,2,2,343,483,623,117,183,311,531,102,"No",0,0.06,0.5,4,"No","No","No","Yes","No","Yes"
1167754,11,,0,0,0,0,13,34,49,49,16,"No",0,-99.0,-99.0,0,"No","No","Yes","No","No","Yes"
1167914,1,2,1,0,0,0,1,3,5,5,0,"No",0,0.83,0.88,0,"No","No","No","Yes","No","Yes"
1169388,-2,12,0,52,52,52,4,18,39,66,1,"No",0,0.47,0.39,2,"No","No","No","Yes","No","Yes"
1169688,21,2,0,32,96,128,31,68,109,172,9,"No",0,0.77,0.85,0,"No","No","No","Yes","No","Yes"
1170301,4,2,0,0,2,4,5,7,11,18,2,"No",0,1.0,0.97,0,"No","No","No","Yes","No","Yes"
1171563,0,2,0,10,10,10,0,0,2,2,1,"No",0,0.79,0.83,0,"Yes","No","No","Yes","No","Yes"
1172204,0,12,0,9,9,9,1,1,4,5,0,"No",0,0.46,0.35,0,"No","No","No","Yes","No","Yes"
1172573,0,2,0,10,10,10,0,4,5,5,0,"No",0,0.56,0.56,0,"Yes","No","Yes","Yes","No","Yes"
1172586,0,2,0,3,3,3,0,0,0,0,0,"No",0,0.0,0.0,0,"Yes","No","Yes","Yes","No","Yes"
1173533,13,8,7,131,175,219,93,139,165,185,39,"No",0,0.78,0.73,0,"No","No","Yes","Yes","No","Yes"
1174816,674,8,0,1400,2800,2800,456,1551,1909,2347,483,"No",0,0.97,0.91,0,"No","No","No","Yes","No","Yes"
1175305,2,2,0,0,0,0,0,4,6,6,0,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1175778,-23,,3,0,0,0,54,171,293,427,64,"No",0,-99.0,-99.0,0,"No","No","Yes","No","No","Yes"
1175903,32,8,0,337,629,775,44,266,588,850,113,"No",0,0.47,0.47,1,"Yes","No","No","Yes","No","Yes"
1176295,0,4,0,160,280,400,22,46,60,78,12,"No",0,0.56,0.72,0,"Yes","No","No","Yes","No","Yes"
1176633,-1,12,0,11,11,11,3,11,13,18,0,"No",0,0.87,0.68,2,"No","No","No","Yes","No","Yes"
1181994,0,2,0,7,12,17,0,1,1,1,0,"No",0,0.78,0.82,0,"No","No","Yes","Yes","No","Yes"
1187778,9,11,0,14,27,40,6,18,28,40,3,"No",0,0.88,0.74,0,"No","No","No","Yes","No","Yes"
1188780,79,8,0,0,0,0,21,30,52,79,0,"No",0,0.97,0.94,0,"No","No","No","Yes","No","Yes"
1189319,2,8,0,8,8,8,0,1,6,10,0,"No",8,0.0,0.0,0,"No","No","No","Yes","No","Yes"
1189911,65,12,55,384,624,864,130,316,544,778,69,"No",0,0.98,0.96,1,"No","No","No","Yes","No","Yes"
1190201,0,12,0,10,14,16,4,7,11,21,2,"No",2,0.82,0.79,0,"No","No","Yes","Yes","No","Yes"
1190541,0,8,0,24,35,46,3,11,22,34,0,"No",0,0.82,0.87,0,"No","No","No","Yes","No","Yes"
1191071,-1,3,4,10,16,24,6,14,20,30,2,"No",0,0.89,0.9,3,"No","No","No","Yes","No","Yes"
1193229,5,4,0,9,18,24,2,8,11,22,2,"No",0,0.82,0.91,0,"No","No","No","Yes","No","Yes"
1197643,0,5,6,9,11,11,0,0,0,0,0,"No",0,-99.0,-99.0,0,"Yes","No","No","Yes","No","Yes"
1198105,3,8,0,25,25,25,5,14,20,27,2,"No",0,0.98,0.97,0,"No","No","No","Yes","No","Yes"
1200077,0,8,0,3,3,4,3,5,11,15,0,"No",0,0.88,0.92,0,"No","No","No","Yes","No","Yes"
1200336,3,8,0,10,26,42,8,15,24,36,3,"No",0,0.95,0.96,0,"No","No","No","Yes","No","Yes"
1200882,22,8,0,83,114,151,31,116,384,406,0,"No",0,0.53,0.42,0,"No","No","No","Yes","No","Yes"
1201616,0,4,0,9,12,12,1,4,4,4,0,"No",0,0.59,0.62,0,"Yes","No","No","Yes","No","Yes"
1201689,0,4,0,0,0,0,0,2,16,18,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1203648,-3,9,0,20,24,28,2,8,10,20,4,"No",7,0.46,0.29,3,"No","No","Yes","Yes","No","Yes"
1203958,-69,12,50,725,1025,1325,250,588,1015,1554,131,"No",0,0.82,0.79,72,"No","No","No","Yes","No","Yes"
1205456,39,4,0,0,0,0,3,6,12,21,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1205487,10,13,0,0,0,3,2,6,9,13,1,"No",0,0.76,0.79,0,"No","No","No","Yes","No","Yes"
1212158,1,8,0,12,12,12,1,3,3,7,0,"No",0,0.0,0.0,0,"No","No","No","Yes","No","Yes"
1214032,0,4,0,13,13,13,0,0,0,0,1,"No",0,0.22,0.11,0,"Yes","No","No","Yes","No","Yes"
1214334,-2,8,0,38,56,80,8,22,36,42,7,"No",0,0.74,0.76,2,"No","No","No","Yes","No","Yes"
1216721,2,9,0,0,1,2,0,1,2,2,1,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1220087,33,3,70,675,1215,1800,217,565,1062,1566,146,"No",90,0.42,0.46,29,"No","No","No","Yes","No","Yes"
1220346,0,12,0,8,12,20,1,5,10,14,1,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1220408,4,2,0,98,137,189,21,48,93,128,30,"No",0,0.96,0.92,0,"No","No","No","Yes","No","Yes"
1220456,1,8,0,12,16,26,3,11,20,25,4,"No",0,0.82,0.68,0,"No","No","No","Yes","No","Yes"
1221289,14,2,0,0,0,0,0,0,5,6,0,"No",0,1.0,0.99,0,"Yes","No","No","Yes","No","Yes"
1221515,4,12,0,2,3,3,1,2,2,2,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1221565,0,2,0,11,11,11,0,0,0,0,0,"No",0,0.08,0.16,0,"Yes","No","No","Yes","No","Yes"
1222258,1,8,0,15,24,34,7,13,22,28,0,"No",0,0.89,0.88,0,"No","No","No","Yes","No","Yes"
1222951,5,2,0,5,15,25,0,3,6,7,0,"No",0,0.89,0.92,0,"No","No","No","Yes","No","Yes"
1224845,8,8,0,12,23,23,10,25,42,66,0,"No",0,0.48,0.53,0,"No","No","No","Yes","No","Yes"
1224854,3,2,0,0,0,1,1,2,2,3,0,"No",0,0.96,0.96,0,"No","No","No","Yes","No","Yes"
1225007,2,8,0,5,5,10,1,4,10,18,1,"No",0,0.95,0.9,0,"No","No","No","Yes","No","Yes"
1225189,0,8,0,19,22,29,3,13,18,27,3,"No",0,-99.0,1.0,0,"No","No","No","Yes","No","Yes"
1226357,11,8,0,20,28,36,6,17,32,47,8,"No",0,0.81,0.8,0,"No","No","No","Yes","No","Yes"
1226632,0,8,0,4,6,7,1,3,5,6,0,"No",0,0.82,0.78,0,"No","No","No","Yes","No","Yes"
1226738,-1,,0,3,3,3,0,0,4,6,0,"No",0,-99.0,-99.0,1,"Yes","No","No","Yes","No","Yes"
1228568,2,8,0,2,4,6,2,4,8,13,2,"No",0,0.99,0.97,0,"No","No","No","Yes","No","Yes"
1229353,5,8,1,33,51,85,11,36,69,92,15,"No",0,0.98,0.98,0,"No","No","No","Yes","No","Yes"
1232035,396,2,0,1000,1000,1000,661,2634,4898,5069,64,"No",0,0.73,0.52,0,"No","No","No","Yes","No","Yes"
1232251,4,8,5,23,47,71,8,31,54,66,0,"No",0,0.75,0.86,0,"No","No","No","Yes","No","Yes"
1232377,1,3,0,2,3,5,0,2,2,4,0,"No",0,0.89,0.9,0,"No","No","No","Yes","No","Yes"
1234114,3,12,0,11,18,24,1,7,9,16,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1235545,-33,,0,0,0,0,50,174,270,386,44,"No",0,-99.0,-99.0,0,"No","No","Yes","No","No","Yes"
1236150,4,2,0,30,30,30,2,11,19,23,0,"No",0,0.97,0.99,0,"No","No","No","Yes","No","Yes"
1236280,0,2,0,0,0,0,0,0,0,0,0,"No",0,0.94,0.95,0,"No","No","No","Yes","No","Yes"
1239386,78,12,0,300,500,700,160,304,573,865,0,"No",0,0.96,0.86,0,"No","No","No","Yes","No","Yes"
1243948,1,8,0,1,1,2,0,1,1,2,0,"No",0,0.79,0.66,0,"No","No","No","Yes","No","Yes"
1244223,6,2,0,0,0,0,1,2,2,2,0,"No",0,0.95,0.97,0,"Yes","No","No","Yes","No","Yes"
1244801,44,8,6,175,250,350,72,160,238,349,52,"No",0,0.83,0.94,0,"No","No","No","Yes","No","Yes"
1245117,28,8,0,57,109,161,20,59,94,122,33,"No",0,0.99,0.86,0,"No","No","Yes","Yes","No","Yes"
1245741,6,2,0,0,0,5,1,2,9,15,0,"No",0,0.98,0.97,0,"Yes","No","No","Yes","No","Yes"
1246290,0,2,0,500,500,500,0,0,0,0,0,"No",0,0.64,0.8,0,"No","No","Yes","Yes","No","Yes"
1247109,29,2,0,0,0,0,0,0,0,0,2,"No",0,0.81,0.41,0,"No","No","No","Yes","No","Yes"
1249164,0,12,0,60,60,60,4,15,28,40,2,"No",0,0.76,0.53,0,"No","No","No","Yes","No","Yes"
1249457,0,12,0,23,29,35,8,12,14,14,0,"No",0,0.82,0.79,0,"Yes","No","No","Yes","No","Yes"
1250406,9,2,0,48,84,120,18,91,132,139,6,"No",0,0.89,0.85,0,"No","No","No","Yes","No","Yes"
1250937,60,8,0,1000,2000,2000,115,303,590,1126,320,"No",0,0.0,0.0,10,"No","No","Yes","Yes","No","Yes"
1251181,1,8,0,21,29,37,1,7,21,29,5,"No",0,0.15,0.34,0,"No","No","No","Yes","No","Yes"
1252410,0,8,0,9,15,20,2,23,23,33,1,"No",0,0.95,0.94,0,"No","No","No","Yes","No","Yes"
1253048,0,,0,3,3,3,0,0,0,0,0,"No",0,-99.0,-99.0,0,"Yes","No","Yes","No","No","Yes"
1254030,0,12,0,6,9,11,1,2,6,9,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1255082,0,12,0,1,2,2,0,0,0,0,0,"No",0,0.82,0.79,0,"No","No","Yes","Yes","No","Yes"
1255393,0,8,0,22,22,22,7,15,23,43,0,"No",0,0.15,0.34,0,"No","No","No","Yes","No","Yes"
1257446,7,8,0,3,4,6,0,6,11,20,1,"No",0,0.2,0.16,0,"No","No","No","Yes","No","Yes"
1257523,0,2,0,24,29,29,0,9,17,21,0,"No",0,0.22,0.38,0,"Yes","No","No","No","No","Yes"
1257853,73,12,92,1586,2554,3610,544,1325,2359,3133,329,"No",64,0.69,0.68,26,"No","No","No","Yes","No","Yes"
1259574,-1,8,5,70,91,126,6,24,51,88,36,"No",0,0.0,0.27,1,"No","No","No","Yes","No","Yes"
1260606,1,12,0,17,30,43,5,17,28,39,0,"No",0,0.86,0.86,0,"No","No","No","Yes","No","Yes"
1262631,207,4,73,1047,1959,2775,326,797,1057,1058,135,"No",84,0.62,0.73,0,"No","No","No","Yes","No","Yes"
1264691,11,8,0,10,20,30,2,9,21,30,6,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1265706,2,8,0,2,4,5,0,2,2,6,0,"No",0,0.79,0.89,0,"No","No","Yes","Yes","No","Yes"
1266510,0,8,0,30,50,60,10,38,54,68,0,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1266963,3,8,0,22,30,41,8,25,43,61,2,"No",0,0.79,0.42,1,"No","No","No","Yes","No","Yes"
1267171,2,8,0,0,0,0,3,3,3,3,1,"No",0,0.42,0.41,0,"No","No","No","Yes","No","Yes"
1267267,6,8,10,50,50,50,16,55,98,131,32,"No",0,1.0,0.94,0,"No","No","No","Yes","No","Yes"
1267662,0,8,0,18,29,42,11,17,28,40,17,"No",0,0.46,0.35,0,"No","No","No","Yes","No","Yes"
1269436,21,8,0,48,96,96,10,38,61,93,1,"No",0,0.0,0.33,0,"No","No","No","Yes","No","Yes"
1270292,0,12,0,0,0,0,0,0,0,0,0,"No",0,0.82,0.79,0,"No","No","Yes","Yes","No","Yes"
1270775,2,2,0,0,0,0,0,0,1,1,0,"No",0,0.91,0.82,0,"Yes","No","No","Yes","No","Yes"
1270881,0,9,0,4,4,4,0,1,1,2,1,"No",1,0.69,0.68,0,"No","No","Yes","Yes","No","Yes"
1271094,0,2,0,7,9,9,1,5,6,7,0,"No",1,0.36,0.16,0,"Yes","No","Yes","No","No","Yes"
1272506,6,8,0,4,7,10,5,12,25,45,2,"No",0,0.98,0.96,0,"No","No","No","Yes","No","Yes"
1272961,0,2,0,44,66,88,9,26,40,52,4,"No",22,0.2,0.33,0,"No","No","No","Yes","No","Yes"
1273258,-3,8,0,746,1322,1826,120,441,1060,1817,131,"No",36,0.25,0.39,3,"No","No","No","Yes","No","Yes"
1273972,0,2,0,48,72,96,25,65,105,130,0,"No",0,0.88,0.92,0,"No","No","No","Yes","No","Yes"
1274733,0,8,0,3,4,5,1,3,4,4,1,"No",0,0.96,0.97,0,"No","No","No","Yes","No","Yes"
1275387,3,12,0,4,6,8,0,5,10,12,2,"No",0,0.62,0.73,0,"No","No","Yes","Yes","No","Yes"
1275618,9,2,0,12,36,56,7,26,44,68,0,"No",0,0.78,0.82,0,"No","No","No","Yes","No","Yes"
1280786,6,2,0,4,4,4,3,6,6,6,0,"No",0,0.33,0.25,0,"Yes","No","No","Yes","No","Yes"
1281447,2,9,0,4,14,30,5,9,27,35,0,"No",0,0.99,0.98,0,"No","No","No","Yes","No","Yes"
1283044,1,12,0,6,7,10,1,4,6,8,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1283051,9,12,0,30,62,86,13,31,50,75,0,"No",0,0.96,0.91,0,"No","No","No","Yes","No","Yes"
1287094,0,2,0,10,10,10,0,0,0,0,0,"No",0,0.48,0.53,0,"Yes","No","Yes","Yes","No","Yes"
1288715,0,8,0,1,1,1,1,1,1,2,1,"No",0,0.96,0.97,0,"No","No","Yes","Yes","No","Yes"
1288868,0,2,0,22,37,57,0,0,0,0,0,"No",0,0.78,0.82,0,"No","No","Yes","Yes","No","Yes"
1289428,23,0,12,81,161,238,11,63,129,184,0,"No",0,0.91,0.82,0,"No","No","No","No","No","Yes"
1291299,-2,8,0,9,9,11,0,0,4,10,2,"No",0,0.81,0.83,2,"No","No","No","Yes","No","Yes"
1292901,11,8,0,9,21,29,2,10,22,40,2,"No",0,0.96,0.97,0,"No","No","No","Yes","No","Yes"
1293596,0,,0,177,249,315,15,55,178,583,0,"No",0,-99.0,-99.0,0,"Yes","No","No","No","No","Yes"
1294223,3,2,0,5,8,14,3,5,9,15,2,"No",0,1.0,0.99,0,"No","No","No","Yes","No","Yes"
1294485,0,2,0,3,3,3,0,0,0,0,0,"No",0,0.0,0.0,0,"Yes","No","Yes","Yes","No","Yes"
1296808,3,4,0,1,4,6,0,2,4,7,0,"No",0,0.89,0.9,0,"No","No","No","Yes","No","Yes"
1297190,0,4,0,0,0,0,0,0,0,0,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1298925,100,8,20,55,110,200,37,166,191,231,26,"No",0,0.89,0.93,0,"No","No","Yes","Yes","No","Yes"
1299011,-6,12,0,32,32,32,1,6,8,8,0,"No",0,0.0,0.02,6,"No","No","No","Yes","No","Yes"
1300579,0,8,0,0,0,0,0,0,3,3,0,"No",0,0.0,0.0,0,"No","No","No","Yes","No","Yes"
1302613,436,8,1432,9552,16464,23460,2877,7635,12222,16919,2112,"No",0,0.0,0.0,20,"No","No","Yes","Yes","No","Yes"
1303535,13,8,10,20,40,70,9,31,56,68,7,"No",0,0.66,0.85,0,"No","No","No","Yes","No","Yes"
1305795,2,0,0,3,7,12,2,6,9,13,2,"No",0,0.0,0.0,0,"No","No","Yes","No","No","Yes"
1306135,2,8,0,0,0,0,9,10,14,16,0,"No",0,0.94,0.97,0,"No","No","No","Yes","No","Yes"
1306256,0,2,0,6,9,9,0,0,0,0,0,"No",0,1.0,0.99,0,"Yes","No","No","Yes","No","Yes"
1306573,17,8,0,0,5,5,0,2,9,22,0,"No",0,1.0,1.0,0,"No","No","No","Yes","No","Yes"
1310300,0,2,0,11,17,19,0,0,0,0,0,"No",0,0.5,0.34,0,"No","No","No","Yes","No","Yes"
1310314,0,8,0,4,4,4,0,4,4,4,0,"No",2,0.0,0.22,0,"No","No","No","Yes","No","Yes"
1311641,7,4,0,0,0,0,20,54,110,154,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1312990,9,16,0,54,76,106,8,34,59,82,17,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1312991,1,12,0,61,86,122,20,51,89,111,18,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1314315,6,8,0,8,17,26,4,12,19,35,1,"No",0,0.98,0.99,0,"No","No","No","Yes","No","Yes"
1315776,1,8,0,3,7,9,0,4,6,9,8,"No",0,0.99,0.99,0,"No","No","No","Yes","No","Yes"
1315834,39,3,0,36,90,144,20,68,108,162,0,"No",0,0.94,0.91,0,"No","No","No","Yes","No","Yes"
1316546,117,8,0,100,250,450,67,189,389,4216,25,"No",0,0.82,0.92,0,"No","No","No","Yes","No","Yes"
1317703,0,2,0,120,180,240,0,0,1,1,0,"No",80,0.82,0.83,0,"Yes","No","No","Yes","No","Yes"
1317908,21,2,0,11,11,11,10,10,10,10,0,"No",0,0.91,0.9,0,"Yes","No","No","Yes","No","Yes"
1318216,10,8,0,0,8,12,1,22,27,34,1,"No",0,0.95,0.97,0,"No","No","No","Yes","No","Yes"
1318525,41,8,0,256,384,448,24,108,196,368,54,"No",0,0.0,0.0,1,"No","No","No","Yes","No","Yes"
1319352,2,8,0,45,75,105,15,30,59,86,5,"No",0,0.75,0.74,0,"No","No","No","Yes","No","Yes"
1319944,0,2,0,11,11,11,0,0,0,0,1,"No",0,0.97,0.99,0,"Yes","No","No","Yes","No","Yes"
1320097,10,8,0,64,64,64,6,14,36,45,0,"No",0,0.0,0.0,0,"No","No","No","Yes","No","Yes"
1320566,5,8,0,18,36,51,7,23,46,65,0,"No",0,0.99,0.98,0,"No","No","No","Yes","No","Yes"
1321566,0,2,0,1017,1647,1842,0,0,0,0,86,"No",0,0.79,0.66,0,"Yes","No","No","Yes","No","Yes"
1322432,7,2,0,22,49,67,7,20,33,59,0,"No",0,0.99,0.97,0,"No","No","No","Yes","No","Yes"
1323320,0,2,0,12,12,15,0,5,9,9,1,"No",0,0.66,0.72,0,"Yes","No","Yes","Yes","No","Yes"
1327762,1,8,1,11,11,17,2,10,15,18,3,"No",0,0.79,0.66,0,"No","No","No","Yes","No","Yes"
1329189,7,4,0,7,12,15,4,9,14,19,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1329346,19,8,0,0,0,12,2,7,19,33,1,"No",0,0.5,0.37,0,"No","No","No","Yes","No","Yes"
1329825,8,2,63,602,1008,1437,325,608,987,1273,177,"No",0,0.3,0.32,16,"No","No","Yes","Yes","No","Yes"
1330934,0,8,0,15,15,20,0,4,14,19,0,"Yes",0,0.0,0.0,0,"No","No","No","Yes","No","Yes"
1331792,3,12,0,18,24,30,7,18,28,39,0,"No",0,0.98,0.98,0,"No","No","Yes","Yes","No","Yes"
1332878,6,2,0,0,5,5,2,5,6,9,0,"No",0,0.31,0.34,0,"No","No","No","Yes","No","Yes"
1334369,53,8,0,285,475,651,34,142,344,617,55,"No",0,0.06,0.13,0,"No","No","Yes","Yes","No","Yes"
1334946,1,8,0,0,1,1,1,1,2,2,0,"No",0,0.82,0.87,0,"No","No","No","Yes","No","Yes"
1335189,1,8,0,1,3,4,1,2,5,7,0,"No",0,0.98,0.99,0,"No","No","Yes","Yes","No","Yes"
1338535,0,2,0,39,66,92,0,0,0,3,1,"No",0,1.0,1.0,0,"No","No","No","Yes","No","Yes"
1339642,0,2,0,20,29,29,0,0,0,0,0,"No",0,0.69,0.68,0,"Yes","No","No","Yes","No","Yes"
