date,month,day,year,maxTemp,meanTemp,minTemp
3/12/01,3,12,2001,48,40,31
3/13/01,3,13,2001,41,36,31
3/14/01,3,14,2001,50,39,28
3/15/01,3,15,2001,44,38,33
3/16/01,3,16,2001,33,32,30
3/17/01,3,17,2001,37,32,27
3/18/01,3,18,2001,44,34,23
3/19/01,3,19,2001,46,36,25
3/20/01,3,20,2001,48,38,28
3/21/01,3,21,2001,51,40,30
3/22/01,3,22,2001,55,42,30
3/23/01,3,23,2001,50,42,33
3/24/01,3,24,2001,33,28,21
3/25/01,3,25,2001,24,22,19
3/26/01,3,26,2001,32,24,16
3/27/01,3,27,2001,37,31,25
3/28/01,3,28,2001,48,34,21
3/29/01,3,29,2001,46,40,35
3/30/01,3,30,2001,50,42,34
3/31/01,3,31,2001,55,46,36
4/1/01,4,1,2001,48,39,30
4/2/01,4,2,2001,60,45,30
4/3/01,4,3,2001,45,40,35
4/4/01,4,4,2001,52,42,32
4/5/01,4,5,2001,60,48,36
4/6/01,4,6,2001,62,53,44
4/7/01,4,7,2001,82,63,44
4/8/01,4,8,2001,77,61,45
4/9/01,4,9,2001,59,50,44
4/10/01,4,10,2001,51,48,44
4/11/01,4,11,2001,77,62,48
4/12/01,4,12,2001,66,57,46
4/13/01,4,13,2001,59,49,39
4/14/01,4,14,2001,64,52,39
4/15/01,4,15,2001,54,49,45
4/16/01,4,16,2001,42,36,28
4/17/01,4,17,2001,46,37,28
4/18/01,4,18,2001,55,41,28
4/19/01,4,19,2001,68,50,35
4/20/01,4,20,2001,77,64,51
4/21/01,4,21,2001,82,72,59
4/22/01,4,22,2001,78,64,51
4/23/01,4,23,2001,72,58,44
4/24/01,4,24,2001,61,51,42
4/25/01,4,25,2001,60,52,44
4/26/01,4,26,2001,75,60,46
4/27/01,4,27,2001,63,54,44
4/28/01,4,28,2001,64,53,42
4/29/01,4,29,2001,75,60,46
4/30/01,4,30,2001,84,66,50
5/1/01,5,1,2001,82,72,62
5/2/01,5,2,2001,81,72,64
5/3/01,5,3,2001,86,72,57
5/4/01,5,4,2001,60,54,48
5/5/01,5,5,2001,66,56,48
5/6/01,5,6,2001,75,65,55
5/7/01,5,7,2001,66,60,55
5/8/01,5,8,2001,75,62,48
5/9/01,5,9,2001,80,67,54
5/10/01,5,10,2001,81,69,57
5/11/01,5,11,2001,64,54,44
5/12/01,5,12,2001,57,47,39
5/13/01,5,13,2001,68,54,39
5/14/01,5,14,2001,66,54,44
5/15/01,5,15,2001,88,72,57
5/16/01,5,16,2001,89,76,64
5/17/01,5,17,2001,84,73,62
5/18/01,5,18,2001,80,66,57
5/19/01,5,19,2001,73,62,48
5/20/01,5,20,2001,77,62,48
5/21/01,5,21,2001,70,62,55
5/22/01,5,22,2001,66,53,46
5/23/01,5,23,2001,63,53,44
5/24/01,5,24,2001,60,52,44
5/25/01,5,25,2001,59,50,44
5/26/01,5,26,2001,57,47,39
5/27/01,5,27,2001,61,54,48
5/28/01,5,28,2001,66,58,51
5/29/01,5,29,2001,62,53,44
5/30/01,5,30,2001,60,52,45
5/31/01,5,31,2001,62,54,48
6/1/01,6,1,2001,64,56,48
6/2/01,6,2,2001,55,52,50
6/3/01,6,3,2001,55,52,48
6/4/01,6,4,2001,55,50,46
6/5/01,6,5,2001,57,52,46
6/6/01,6,6,2001,62,56,51
6/7/01,6,7,2001,68,60,52
6/8/01,6,8,2001,73,60,48
6/9/01,6,9,2001,81,65,50
6/10/01,6,10,2001,82,74,66
6/11/01,6,11,2001,87,78,68
6/12/01,6,12,2001,86,74,63
6/13/01,6,13,2001,91,80,68
6/14/01,6,14,2001,91,80,69
6/15/01,6,15,2001,77,70,64
6/16/01,6,16,2001,86,70,55
6/17/01,6,17,2001,87,71,55
6/18/01,6,18,2001,91,78,64
6/19/01,6,19,2001,84,74,66
6/20/01,6,20,2001,75,70,64
6/21/01,6,21,2001,69,64,59
6/22/01,6,22,2001,69,60,52
6/23/01,6,23,2001,73,62,51
6/24/01,6,24,2001,81,66,51
6/25/01,6,25,2001,84,72,59
6/26/01,6,26,2001,86,74,63
6/27/01,6,27,2001,87,75,63
6/28/01,6,28,2001,86,74,63
6/29/01,6,29,2001,87,76,66
6/30/01,6,30,2001,88,78,69
7/1/01,7,1,2001,78,66,55
7/2/01,7,2,2001,78,62,51
7/3/01,7,3,2001,79,72,64
7/4/01,7,4,2001,88,78,68
7/5/01,7,5,2001,73,65,55
7/6/01,7,6,2001,81,66,52
7/7/01,7,7,2001,86,73,62
7/8/01,7,8,2001,89,78,70
7/9/01,7,9,2001,91,78,68
7/10/01,7,10,2001,93,80,69
7/11/01,7,11,2001,78,69,62
7/12/01,7,12,2001,80,70,61
7/13/01,7,13,2001,79,68,59
7/14/01,7,14,2001,87,75,63
7/15/01,7,15,2001,88,74,62
7/16/01,7,16,2001,86,74,64
7/17/01,7,17,2001,86,78,71
7/18/01,7,18,2001,84,78,73
7/19/01,7,19,2001,88,78,68
7/20/01,7,20,2001,93,81,71
7/21/01,7,21,2001,93,83,73
7/22/01,7,22,2001,95,80,68
7/23/01,7,23,2001,91,82,73
7/24/01,7,24,2001,90,80,70
7/25/01,7,25,2001,75,70,66
7/26/01,7,26,2001,78,73,69
7/27/01,7,27,2001,78,70,64
7/28/01,7,28,2001,78,71,64
7/29/01,7,29,2001,90,76,64
7/30/01,7,30,2001,90,80,70
7/31/01,7,31,2001,93,82,71
8/1/01,8,1,2001,91,84,77
8/2/01,8,2,2001,84,78,73
8/3/01,8,3,2001,84,76,70
8/4/01,8,4,2001,87,75,64
8/5/01,8,5,2001,89,76,64
8/6/01,8,6,2001,91,80,70
8/7/01,8,7,2001,95,84,75
8/8/01,8,8,2001,93,83,75
8/9/01,8,9,2001,95,82,71
8/10/01,8,10,2001,77,70,66
8/11/01,8,11,2001,77,69,61
8/12/01,8,12,2001,84,72,61
8/13/01,8,13,2001,75,67,61
8/14/01,8,14,2001,75,68,60
8/15/01,8,15,2001,77,67,59
8/16/01,8,16,2001,70,68,66
8/17/01,8,17,2001,78,70,61
8/18/01,8,18,2001,70,66,61
8/19/01,8,19,2001,73,68,62
8/20/01,8,20,2001,79,68,59
8/21/01,8,21,2001,81,72,63
8/22/01,8,22,2001,86,76,68
8/23/01,8,23,2001,73,71,69
8/24/01,8,24,2001,80,72,66
8/25/01,8,25,2001,79,74,70
8/26/01,8,26,2001,84,76,68
8/27/01,8,27,2001,84,73,64
8/28/01,8,28,2001,78,68,57
8/29/01,8,29,2001,82,69,57
8/30/01,8,30,2001,84,76,68
8/31/01,8,31,2001,75,68,62
9/1/01,9,1,2001,66,60,54
9/2/01,9,2,2001,78,64,50
9/3/01,9,3,2001,84,74,63
9/4/01,9,4,2001,75,66,59
9/5/01,9,5,2001,78,66,55
9/6/01,9,6,2001,84,72,61
9/7/01,9,7,2001,87,78,69
9/8/01,9,8,2001,81,74,66
9/9/01,9,9,2001,72,64,55
9/10/01,9,10,2001,77,64,53
9/11/01,9,11,2001,78,66,54
9/12/01,9,12,2001,82,70,57
9/13/01,9,13,2001,68,62,57
9/14/01,9,14,2001,63,58,55
9/15/01,9,15,2001,66,58,51
9/16/01,9,16,2001,71,59,48
9/17/01,9,17,2001,64,60,55
9/18/01,9,18,2001,69,63,57
9/19/01,9,19,2001,66,62,57
9/20/01,9,20,2001,73,63,54
9/21/01,9,21,2001,68,60,55
9/22/01,9,22,2001,73,63,53
9/23/01,9,23,2001,66,58,50
9/24/01,9,24,2001,55,49,44
9/25/01,9,25,2001,57,48,39
9/26/01,9,26,2001,69,59,50
9/27/01,9,27,2001,62,54,45
9/28/01,9,28,2001,55,54,52
9/29/01,9,29,2001,64,55,46
9/30/01,9,30,2001,71,57,44
10/1/01,10,1,2001,78,64,52
10/2/01,10,2,2001,80,65,50
10/3/01,10,3,2001,78,68,55
10/4/01,10,4,2001,80,54,48
10/5/01,10,5,2001,51,46,41
10/6/01,10,6,2001,50,40,33
10/7/01,10,7,2001,52,40,30
10/8/01,10,8,2001,64,52,39
10/9/01,10,9,2001,73,63,55
10/10/01,10,10,2001,64,60,55
10/11/01,10,11,2001,64,57,51
10/12/01,10,12,2001,61,56,51
10/13/01,10,13,2001,64,60,55
10/14/01,10,14,2001,60,54,46
10/15/01,10,15,2001,52,47,43
10/16/01,10,16,2001,52,46,41
10/17/01,10,17,2001,51,42,34
10/18/01,10,18,2001,64,51,39
10/19/01,10,19,2001,60,52,46
10/20/01,10,20,2001,66,56,45
10/21/01,10,21,2001,66,58,51
10/22/01,10,22,2001,62,56,51
10/23/01,10,23,2001,64,60,57
10/24/01,10,24,2001,63,52,41
10/25/01,10,25,2001,39,38,36
10/26/01,10,26,2001,41,38,36
10/27/01,10,27,2001,45,38,32
10/28/01,10,28,2001,54,42,32
10/29/01,10,29,2001,59,52,44
10/30/01,10,30,2001,51,48,46
10/31/01,10,31,2001,66,58,50
11/1/01,11,1,2001,66,62,57
11/2/01,11,2,2001,64,55,46
11/3/01,11,3,2001,66,52,37
11/4/01,11,4,2001,60,48,37
11/5/01,11,5,2001,55,44,32
11/6/01,11,6,2001,62,50,37
11/7/01,11,7,2001,68,57,46
11/8/01,11,8,2001,59,47,33
11/9/01,11,9,2001,52,41,30
11/10/01,11,10,2001,59,49,39
11/11/01,11,11,2001,50,42,35
11/12/01,11,12,2001,55,42,28
11/13/01,11,13,2001,63,52,42
11/14/01,11,14,2001,62,56,51
11/15/01,11,15,2001,68,62,55
11/16/01,11,16,2001,59,52,42
11/17/01,11,17,2001,64,50,37
11/18/01,11,18,2001,63,56,48
11/19/01,11,19,2001,55,46,35
11/20/01,11,20,2001,42,35,28
11/21/01,11,21,2001,53,44,36
11/22/01,11,22,2001,57,48,39
11/23/01,11,23,2001,59,52,45
11/24/01,11,24,2001,63,58,48
11/25/01,11,25,2001,48,45,42
11/26/01,11,26,2001,48,42,36
11/27/01,11,27,2001,52,44,35
11/28/01,11,28,2001,41,38,35
11/29/01,11,29,2001,45,42,39
11/30/01,11,30,2001,48,45,41
12/1/01,12,1,2001,42,37,32
12/2/01,12,2,2001,52,39,26
12/3/01,12,3,2001,55,48,41
12/4/01,12,4,2001,62,58,54
12/5/01,12,5,2001,68,58,44
12/6/01,12,6,2001,51,44,37
12/7/01,12,7,2001,45,40,35
12/8/01,12,8,2001,46,39,30
12/9/01,12,9,2001,39,31,23
12/10/01,12,10,2001,48,39,30
12/11/01,12,11,2001,46,35,24
12/12/01,12,12,2001,46,42,39
12/13/01,12,13,2001,46,39,30
12/14/01,12,14,2001,37,34,30
12/15/01,12,15,2001,39,34,28
12/16/01,12,16,2001,45,42,39
12/17/01,12,17,2001,45,40,33
12/18/01,12,18,2001,46,37,28
12/19/01,12,19,2001,39,34,30
12/20/01,12,20,2001,39,32,26
12/21/01,12,21,2001,39,32,25
12/22/01,12,22,2001,48,40,33
12/23/01,12,23,2001,32,26,21
12/24/01,12,24,2001,21,18,15
12/25/01,12,25,2001,21,16,12
12/26/01,12,26,2001,18,14,9
12/27/01,12,27,2001,26,22,19
12/28/01,12,28,2001,25,22,17
12/29/01,12,29,2001,18,14,8
12/30/01,12,30,2001,19,12,6
12/31/01,12,31,2001,21,14,7
1/1/02,1,1,2002,25,18,10
1/2/02,1,2,2002,30,20,10
1/3/02,1,3,2002,28,20,12
1/4/02,1,4,2002,37,28,18
1/5/02,1,5,2002,35,32,28
1/6/02,1,6,2002,34,29,21
1/7/02,1,7,2002,28,22,16
1/8/02,1,8,2002,41,30,21
1/9/02,1,9,2002,54,46,37
1/10/02,1,10,2002,43,39,35
1/11/02,1,11,2002,43,38,33
1/12/02,1,12,2002,41,36,30
1/13/02,1,13,2002,42,33,24
1/14/02,1,14,2002,39,34,30
1/15/02,1,15,2002,33,32,30
1/16/02,1,16,2002,33,30,24
1/17/02,1,17,2002,25,18,12
1/18/02,1,18,2002,19,16,12
1/19/02,1,19,2002,28,20,12
1/20/02,1,20,2002,36,28,21
1/21/02,1,21,2002,36,30,25
1/22/02,1,22,2002,54,43,32
1/23/02,1,23,2002,48,42,35
1/24/02,1,24,2002,39,36,32
1/25/02,1,25,2002,50,38,27
1/26/02,1,26,2002,53,44,34
1/27/02,1,27,2002,59,48,37
1/28/02,1,28,2002,46,41,36
1/29/02,1,29,2002,35,32,30
1/30/02,1,30,2002,33,30,28
1/31/02,1,31,2002,34,32,30
2/1/02,2,1,2002,34,28,19
2/2/02,2,2,2002,33,21,9
2/3/02,2,3,2002,34,28,19
2/4/02,2,4,2002,23,18,10
2/5/02,2,5,2002,30,20,10
2/6/02,2,6,2002,37,29,21
2/7/02,2,7,2002,39,32,24
2/8/02,2,8,2002,43,36,30
2/9/02,2,9,2002,50,40,30
2/10/02,2,10,2002,42,35,27
2/11/02,2,11,2002,37,28,19
2/12/02,2,12,2002,42,35,26
2/13/02,2,13,2002,33,26,19
2/14/02,2,14,2002,45,38,30
2/15/02,2,15,2002,42,39,36
2/16/02,2,16,2002,41,37,33
2/17/02,2,17,2002,37,32,26
2/18/02,2,18,2002,50,38,26
2/19/02,2,19,2002,46,42,37
2/20/02,2,20,2002,54,44,34
2/21/02,2,21,2002,34,32,28
2/22/02,2,22,2002,37,29,21
2/23/02,2,23,2002,46,35,24
2/24/02,2,24,2002,61,49,37
2/25/02,2,25,2002,51,42,32
2/26/02,2,26,2002,32,26,19
2/27/02,2,27,2002,25,21,17
2/28/02,2,28,2002,30,22,15
3/1/02,3,1,2002,32,26,21
3/2/02,3,2,2002,34,28,21
3/3/02,3,3,2002,19,10,0
3/4/02,3,4,2002,19,6,-6
3/5/02,3,5,2002,32,22,12
3/6/02,3,6,2002,41,32,24
3/7/02,3,7,2002,37,35,33
3/8/02,3,8,2002,64,50,37
3/9/02,3,9,2002,62,42,21
3/10/02,3,10,2002,28,21,14
3/11/02,3,11,2002,44,32,21
3/12/02,3,12,2002,52,40,28
3/13/02,3,13,2002,57,46,36
3/14/02,3,14,2002,62,50,37
3/15/02,3,15,2002,57,46,35
3/16/02,3,16,2002,39,36,32
3/17/02,3,17,2002,39,36,34
3/18/02,3,18,2002,46,40,35
3/19/02,3,19,2002,46,40,35
3/20/02,3,20,2002,45,39,33
3/21/02,3,21,2002,39,28,17
3/22/02,3,22,2002,37,26,14
3/23/02,3,23,2002,51,39,27
3/24/02,3,24,2002,41,34,26
3/25/02,3,25,2002,30,27,24
3/26/02,3,26,2002,37,31,25
3/27/02,3,27,2002,46,35,24
3/28/02,3,28,2002,48,39,30
3/29/02,3,29,2002,45,41,37
3/30/02,3,30,2002,50,43,36
3/31/02,3,31,2002,46,37,28
4/1/02,4,1,2002,39,33,27
4/2/02,4,2,2002,44,38,33
4/3/02,4,3,2002,39,34,30
4/4/02,4,4,2002,36,32,25
4/5/02,4,5,2002,41,33,25
4/6/02,4,6,2002,43,34,26
4/7/02,4,7,2002,48,42,35
4/8/02,4,8,2002,52,49,46
4/9/02,4,9,2002,51,44,37
4/10/02,4,10,2002,64,50,35
4/11/02,4,11,2002,75,62,50
4/12/02,4,12,2002,66,56,46
4/13/02,4,13,2002,62,52,42
4/14/02,4,14,2002,77,59,43
4/15/02,4,15,2002,88,75,62
4/16/02,4,16,2002,87,78,68
4/17/02,4,17,2002,84,75,66
4/18/02,4,18,2002,89,76,64
4/19/02,4,19,2002,68,56,45
4/20/02,4,20,2002,48,44,41
4/21/02,4,21,2002,42,40,39
4/22/02,4,22,2002,43,39,35
4/23/02,4,23,2002,60,46,33
4/24/02,4,24,2002,73,60,44
4/25/02,4,25,2002,54,46,37
4/26/02,4,26,2002,53,44,36
4/27/02,4,27,2002,64,46,42
4/28/02,4,28,2002,59,50,42
4/29/02,4,29,2002,61,50,39
4/30/02,4,30,2002,60,54,48
5/1/02,5,1,2002,63,52,43
5/2/02,5,2,2002,53,48,44
5/3/02,5,3,2002,53,46,39
5/4/02,5,4,2002,69,51,34
5/5/02,5,5,2002,69,58,48
5/6/02,5,6,2002,75,68,60
5/7/02,5,7,2002,68,56,44
5/8/02,5,8,2002,64,54,44
5/9/02,5,9,2002,68,60,50
5/10/02,5,10,2002,66,56,45
5/11/02,5,11,2002,57,50,44
5/12/02,5,12,2002,50,47,44
5/13/02,5,13,2002,55,50,44
5/14/02,5,14,2002,64,54,44
5/15/02,5,15,2002,75,58,42
5/16/02,5,16,2002,66,54,43
5/17/02,5,17,2002,45,40,37
5/18/02,5,18,2002,54,44,35
5/19/02,5,19,2002,54,45,37
5/20/02,5,20,2002,48,44,37
5/21/02,5,21,2002,57,45,33
5/22/02,5,22,2002,68,54,41
5/23/02,5,23,2002,72,64,57
5/24/02,5,24,2002,64,54,43
5/25/02,5,25,2002,57,50,43
5/26/02,5,26,2002,73,56,39
5/27/02,5,27,2002,78,63,48
5/28/02,5,28,2002,78,68,59
5/29/02,5,29,2002,82,72,63
5/30/02,5,30,2002,84,74,64
5/31/02,5,31,2002,86,77,69
6/1/02,6,1,2002,91,76,61
6/2/02,6,2,2002,71,62,53
6/3/02,6,3,2002,70,61,54
6/4/02,6,4,2002,70,64,59
6/5/02,6,5,2002,64,56,46
6/6/02,6,6,2002,66,56,46
6/7/02,6,7,2002,77,62,50
6/8/02,6,8,2002,82,70,60
6/9/02,6,9,2002,87,72,57
6/10/02,6,10,2002,88,79,71
6/11/02,6,11,2002,82,76,69
6/12/02,6,12,2002,70,64,57
6/13/02,6,13,2002,64,60,57
6/14/02,6,14,2002,66,60,55
6/15/02,6,15,2002,78,66,55
6/16/02,6,16,2002,77,65,55
6/17/02,6,17,2002,77,66,57
6/18/02,6,18,2002,84,70,57
6/19/02,6,19,2002,84,74,64
6/20/02,6,20,2002,91,81,72
6/21/02,6,21,2002,88,80,72
6/22/02,6,22,2002,91,78,66
6/23/02,6,23,2002,91,82,73
6/24/02,6,24,2002,91,78,66
6/25/02,6,25,2002,88,80,73
6/26/02,6,26,2002,88,80,71
6/27/02,6,27,2002,82,75,68
6/28/02,6,28,2002,86,72,61
6/29/02,6,29,2002,87,74,61
6/30/02,6,30,2002,93,80,69
7/1/02,7,1,2002,93,83,75
7/2/02,7,2,2002,93,84,75
7/3/02,7,3,2002,93,83,73
7/4/02,7,4,2002,90,80,70
7/5/02,7,5,2002,81,74,69
7/6/02,7,6,2002,84,75,66
7/7/02,7,7,2002,89,78,66
7/8/02,7,8,2002,93,82,70
7/9/02,7,9,2002,80,74,68
7/10/02,7,10,2002,78,73,69
7/11/02,7,11,2002,73,68,64
7/12/02,7,12,2002,79,68,57
7/13/02,7,13,2002,82,69,57
7/14/02,7,14,2002,88,72,57
7/15/02,7,15,2002,91,76,62
7/16/02,7,16,2002,89,80,70
7/17/02,7,17,2002,89,77,66
7/18/02,7,18,2002,91,82,73
7/19/02,7,19,2002,81,76,71
7/20/02,7,20,2002,90,76,63
7/21/02,7,21,2002,96,88,79
7/22/02,7,22,2002,90,84,77
7/23/02,7,23,2002,75,70,64
7/24/02,7,24,2002,79,71,64
7/25/02,7,25,2002,80,72,66
7/26/02,7,26,2002,88,80,72
7/27/02,7,27,2002,89,80,71
7/28/02,7,28,2002,88,81,73
7/29/02,7,29,2002,82,78,73
7/30/02,7,30,2002,91,80,69
7/31/02,7,31,2002,93,82,71
8/1/02,8,1,2002,93,84,75
8/2/02,8,2,2002,81,76,68
8/3/02,8,3,2002,90,74,60
8/4/02,8,4,2002,89,80,73
8/5/02,8,5,2002,84,76,70
8/6/02,8,6,2002,73,68,64
8/7/02,8,7,2002,75,69,63
8/8/02,8,8,2002,80,70,61
8/9/02,8,9,2002,82,70,57
8/10/02,8,10,2002,89,74,61
8/11/02,8,11,2002,93,80,66
8/12/02,8,12,2002,89,79,70
8/13/02,8,13,2002,84,76,68
8/14/02,8,14,2002,77,70,64
8/15/02,8,15,2002,84,73,62
8/16/02,8,16,2002,81,76,70
8/17/02,8,17,2002,87,78,68
8/18/02,8,18,2002,79,66,54
8/19/02,8,19,2002,73,67,61
8/20/02,8,20,2002,75,65,55
8/21/02,8,21,2002,87,75,64
8/22/02,8,22,2002,81,74,66
8/23/02,8,23,2002,78,72,66
8/24/02,8,24,2002,82,74,66
8/25/02,8,25,2002,84,74,64
8/26/02,8,26,2002,81,73,66
8/27/02,8,27,2002,82,74,66
8/28/02,8,28,2002,79,72,66
8/29/02,8,29,2002,78,70,61
8/30/02,8,30,2002,82,72,62
8/31/02,8,31,2002,82,74,66
9/1/02,9,1,2002,84,74,64
9/2/02,9,2,2002,82,74,66
9/3/02,9,3,2002,80,73,66
9/4/02,9,4,2002,84,72,61
9/5/02,9,5,2002,82,71,61
9/6/02,9,6,2002,84,72,60
9/7/02,9,7,2002,89,74,60
9/8/02,9,8,2002,91,76,61
9/9/02,9,9,2002,90,79,68
9/10/02,9,10,2002,89,77,63
9/11/02,9,11,2002,75,64,55
9/12/02,9,12,2002,78,64,50
9/13/02,9,13,2002,77,65,53
9/14/02,9,14,2002,82,68,55
9/15/02,9,15,2002,72,63,55
9/16/02,9,16,2002,75,62,50
9/17/02,9,17,2002,79,65,51
9/18/02,9,18,2002,80,70,62
9/19/02,9,19,2002,80,76,73
9/20/02,9,20,2002,72,68,63
9/21/02,9,21,2002,80,70,59
9/22/02,9,22,2002,66,57,48
9/23/02,9,23,2002,69,54,39
9/24/02,9,24,2002,61,51,42
9/25/02,9,25,2002,73,58,44
9/26/02,9,26,2002,75,62,48
9/27/02,9,27,2002,66,60,53
9/28/02,9,28,2002,73,62,52
9/29/02,9,29,2002,84,73,62
9/30/02,9,30,2002,84,76,69
10/1/02,10,1,2002,82,74,68
10/2/02,10,2,2002,71,66,60
10/3/02,10,3,2002,63,59,57
10/4/02,10,4,2002,72,64,54
10/5/02,10,5,2002,63,54,46
10/6/02,10,6,2002,69,58,48
10/7/02,10,7,2002,55,48,41
10/8/02,10,8,2002,66,54,45
10/9/02,10,9,2002,64,56,48
10/10/02,10,10,2002,73,62,51
10/11/02,10,11,2002,73,60,48
10/12/02,10,12,2002,72,60,50
10/13/02,10,13,2002,50,42,35
10/14/02,10,14,2002,57,44,32
10/15/02,10,15,2002,60,48,39
10/16/02,10,16,2002,50,42,35
10/17/02,10,17,2002,45,40,37
10/18/02,10,18,2002,62,49,36
10/19/02,10,19,2002,51,43,33
10/20/02,10,20,2002,52,40,30
10/21/02,10,21,2002,55,44,34
10/22/02,10,22,2002,50,42,37
10/23/02,10,23,2002,46,42,39
10/24/02,10,24,2002,46,44,42
10/25/02,10,25,2002,46,44,42
10/26/02,10,26,2002,46,42,37
10/27/02,10,27,2002,46,42,39
10/28/02,10,28,2002,48,42,37
10/29/02,10,29,2002,46,44,42
10/30/02,10,30,2002,46,44,41
10/31/02,10,31,2002,46,39,30
11/1/02,11,1,2002,39,32,26
11/2/02,11,2,2002,46,37,28
11/3/02,11,3,2002,46,35,24
11/4/02,11,4,2002,45,38,32
11/5/02,11,5,2002,39,37,35
11/6/02,11,6,2002,42,39,36
11/7/02,11,7,2002,57,44,30
11/8/02,11,8,2002,63,56,48
11/9/02,11,9,2002,63,58,53
11/10/02,11,10,2002,62,53,41
11/11/02,11,11,2002,39,38,36
11/12/02,11,12,2002,42,40,37
11/13/02,11,13,2002,55,46,36
11/14/02,11,14,2002,55,47,39
11/15/02,11,15,2002,39,38,36
11/16/02,11,16,2002,35,34,30
11/17/02,11,17,2002,37,32,26
11/18/02,11,18,2002,44,34,24
11/19/02,11,19,2002,53,43,33
11/20/02,11,20,2002,50,44,37
11/21/02,11,21,2002,43,38,34
11/22/02,11,22,2002,37,32,26
11/23/02,11,23,2002,46,38,30
11/24/02,11,24,2002,37,32,26
11/25/02,11,25,2002,30,26,21
11/26/02,11,26,2002,28,24,19
11/27/02,11,27,2002,30,22,15
11/28/02,11,28,2002,33,24,16
11/29/02,11,29,2002,46,40,34
11/30/02,11,30,2002,39,28,17
12/1/02,12,1,2002,36,24,12
12/2/02,12,2,2002,35,28,21
12/3/02,12,3,2002,24,20,16
12/4/02,12,4,2002,27,20,12
12/5/02,12,5,2002,24,20,15
12/6/02,12,6,2002,32,20,9
12/7/02,12,7,2002,41,34,28
12/8/02,12,8,2002,28,20,12
12/9/02,12,9,2002,30,20,9
12/10/02,12,10,2002,44,34,23
12/11/02,12,11,2002,45,32,19
12/12/02,12,12,2002,37,32,28
12/13/02,12,13,2002,39,36,34
12/14/02,12,14,2002,37,34,30
12/15/02,12,15,2002,45,38,30
12/16/02,12,16,2002,32,31,30
12/17/02,12,17,2002,37,33,30
12/18/02,12,18,2002,55,46,37
12/19/02,12,19,2002,54,44,35
12/20/02,12,20,2002,35,32,28
12/21/02,12,21,2002,34,31,28
12/22/02,12,22,2002,30,28,25
12/23/02,12,23,2002,33,28,23
12/24/02,12,24,2002,30,24,19
12/25/02,12,25,2002,28,26,23
12/26/02,12,26,2002,28,24,19
12/27/02,12,27,2002,32,26,19
12/28/02,12,28,2002,35,30,26
12/29/02,12,29,2002,39,32,24
12/30/02,12,30,2002,60,48,37
12/31/02,12,31,2002,39,34,28
1/1/03,1,1,2003,33,30,28
1/2/03,1,2,2003,30,29,28
1/3/03,1,3,2003,34,28,21
1/4/03,1,4,2003,33,26,19
1/5/03,1,5,2003,32,31,30
1/6/03,1,6,2003,33,30,26
1/7/03,1,7,2003,46,36,26
